name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,loan_approved_label
Allison Hill,East Jill,113810,389,39698,27,50.0,False,Rejected
Brandon Hall,New Jamesside,44592,729,15446,28,55.0,False,Rejected
Rhonda Smith,Lake Roberto,33278,584,11189,13,45.0,False,Rejected
Gabrielle Davis,West Melanieview,127196,344,48823,29,50.0,False,Rejected
Valerie Gray,Mariastad,66048,496,47174,4,25.0,False,Rejected
Darren Roberts,Port Jesseville,62098,689,19217,29,65.0,True,Approved
Holly Wood,Lake Joseph,59256,373,40920,40,35.0,False,Rejected
Nicholas Martin,Nelsonside,48289,524,45866,20,25.0,False,Rejected
Patty Perez,Port Leslieview,126530,367,14826,36,55.0,False,Rejected
Emily Rios,Wilkersonmouth,43434,446,18359,8,20.0,False,Rejected
Justin Baker,Hurstfurt,118696,670,15373,8,75.0,True,Approved
Ann Williams,East Courtneychester,127080,365,26216,24,55.0,False,Rejected
Julie King,Lake Jenniferside,146939,573,43006,21,50.0,False,Rejected
Jeffrey Chavez,Teresaburgh,101482,819,7973,40,100.0,True,Approved
Mark Lynch,West Kathryn,41395,843,1037,38,80.0,True,Approved
Alec Hickman,Johnbury,107397,380,6613,31,60.0,True,Approved
Vanessa Patel,East Donna,85302,469,18370,33,50.0,False,Rejected
Jenny Lewis,Lake Larry,34165,682,29711,33,50.0,False,Rejected
David Brown,New Angelashire,33905,525,1471,4,30.0,False,Rejected
Amy Jones,Port Markhaven,42280,543,19250,31,25.0,False,Rejected
Carlos Walls,Sanchezfort,58657,716,13478,6,65.0,True,Approved
Jeffrey Henderson,Shieldston,60495,400,4972,25,50.0,False,Rejected
Rebecca Rodriguez,East Amanda,96237,443,28648,11,45.0,False,Rejected
David Leblanc,Mortonside,108907,400,4315,34,60.0,True,Approved
Tracy House,East Richard,33478,792,15008,25,60.0,True,Approved
Carmen Smith,Bakermouth,103563,592,28722,35,65.0,True,Approved
Katelyn Lee,North Beth,56062,362,21552,3,30.0,False,Rejected
John Calhoun,North Susan,123850,382,13178,4,45.0,False,Rejected
Megan Young,New Johnton,115181,383,28474,37,55.0,False,Rejected
Emily Green,Johnfurt,121924,434,45019,19,50.0,False,Rejected
Timothy Walls,South Christineshire,101426,402,5801,34,60.0,True,Approved
Derek Mahoney,East Mikeburgh,84987,748,36600,19,75.0,True,Approved
Victoria Valdez,Lake Lisaport,58893,406,9800,16,45.0,False,Rejected
Brian Tran,Juanborough,88878,651,14342,40,65.0,True,Approved
Kathy King,North Cynthiaview,107236,345,1232,21,60.0,True,Approved
Mandy Green,Arnoldchester,66463,309,8331,4,35.0,False,Rejected
Melissa Hernandez,Port Mikeside,136093,451,29166,8,50.0,False,Rejected
Jacob Fitzpatrick,West Jasonbury,143940,405,24178,35,55.0,False,Rejected
Jennifer Oliver,East Michelle,30851,481,28020,1,10.0,False,Rejected
Tim Patton,Phambury,129458,573,11433,6,55.0,False,Rejected
Andrew Ruiz,Port Samantha,135620,658,21000,14,70.0,True,Approved
Matthew Ross,Michelleview,50926,659,43040,32,50.0,False,Rejected
William Herrera,North Natalieview,121506,482,39049,16,50.0,False,Rejected
Kyle Reed,Samuelhaven,85392,418,26244,36,45.0,False,Rejected
Andrew Graham,West Ryan,74597,638,41839,20,50.0,False,Rejected
Belinda Mccullough,Elizabethmouth,66421,712,46692,18,60.0,True,Approved
Cheryl Ortega,Byrdburgh,50379,608,27612,35,50.0,False,Rejected
Elizabeth Clark,Stevenmouth,58221,518,34500,30,35.0,False,Rejected
Toni Fitzgerald,West Zacharymouth,130072,395,16392,19,55.0,False,Rejected
Curtis Johnson,South Cheryl,74118,374,30846,26,35.0,False,Rejected
Laura Higgins,Snyderbury,43396,451,43995,0,10.0,False,Rejected
Shannon Mcclure,Robinsonhaven,42156,775,4291,35,70.0,True,Approved
Ryan Bryant,Contrerasside,79797,624,30004,39,60.0,True,Approved
Stephanie Simmons,Merrittfort,42676,760,17986,15,60.0,True,Approved
Destiny Strickland,Simsview,77052,750,6077,18,90.0,True,Approved
George Orozco,East Edwardfurt,141082,456,47295,13,50.0,False,Rejected
Jason Daniels,Brownchester,75082,698,39278,1,50.0,False,Rejected
Pamela James,West Kennethfurt,109131,729,36272,34,75.0,True,Approved
Stephanie Freeman,Ryantown,64671,698,23028,25,65.0,True,Approved
Sara Calhoun,South Brittanytown,135791,385,43123,27,50.0,False,Rejected
Joel Williams,Murphymouth,35695,634,23118,24,40.0,False,Rejected
Trevor Fisher,South Andrewside,125647,353,23935,14,55.0,False,Rejected
Rachael Pearson,East Jamestown,90217,456,16633,8,45.0,False,Rejected
Brian Gould,Lyonsstad,100284,471,40707,38,45.0,False,Rejected
Michelle Strickland,West Daniel,46361,326,21444,36,25.0,False,Rejected
Tina Sanders,North Brittany,79615,548,7678,19,55.0,False,Rejected
Lindsay Martinez,West Amandastad,40328,370,34158,21,25.0,False,Rejected
Jason Henry,Yumouth,102357,456,29540,11,50.0,False,Rejected
Tracie Nelson,Marshallshire,68427,574,22122,15,40.0,False,Rejected
Angelica Keith,Port Steven,138711,688,23046,1,65.0,True,Approved
Frederick Freeman MD,Matthewview,112397,310,34857,12,50.0,False,Rejected
Nathan Freeman,Lake Thomas,111070,802,30371,1,75.0,True,Approved
Daniel Holt,Elizabethstad,146057,784,37272,33,85.0,True,Approved
Zachary Pierce,Jacquelineview,142945,613,17475,14,70.0,True,Approved
Corey Wilson,East Javier,77400,795,19120,37,85.0,True,Approved
Kelly Campbell,Port Jamesbury,105674,669,12759,19,70.0,True,Approved
Joseph Hill,New Kellyberg,55203,802,7723,0,70.0,True,Approved
Julie Alexander,North Johnny,122349,789,8476,4,85.0,True,Approved
Benjamin Soto,East Edwardshire,39116,611,6582,15,50.0,False,Rejected
Phillip Obrien,Port Alexandra,36006,761,30014,19,60.0,True,Approved
Wanda Torres,New Susanville,116673,512,41993,13,50.0,False,Rejected
Brad Allen,East Aaronmouth,59871,781,20087,2,65.0,True,Approved
Michael Warner,Jonesbury,131327,570,41963,37,50.0,False,Rejected
Taylor Coleman,Lake Edward,67930,572,10321,4,35.0,False,Rejected
Ricky Larson,Scottmouth,40458,611,46857,25,40.0,False,Rejected
Kathryn Snyder,New Billchester,142108,630,40564,16,65.0,True,Approved
Darryl Craig,Port Emilyview,60512,341,12481,30,45.0,False,Rejected
Jessica Ramirez,Waltersfort,143571,393,31802,22,55.0,False,Rejected
Frank Garcia,West Robert,43238,807,19888,25,65.0,True,Approved
Krista Gibson,Johnnyville,79823,713,34724,0,50.0,False,Rejected
Kimberly Gutierrez,New Michael,66434,810,41986,28,75.0,True,Approved
Christina Dunn,Samuelfort,89429,424,2891,40,55.0,False,Rejected
Cynthia Moore,New Rickybury,113320,416,31241,7,45.0,False,Rejected
Brittany Cantu,Williamview,139328,725,32621,30,80.0,True,Approved
Juan Reyes,Port Chad,77819,724,23274,32,70.0,True,Approved
Aaron Barber,Grimesmouth,51319,795,23618,21,70.0,True,Approved
Kimberly Gibson,Mollybury,78520,692,16306,26,75.0,True,Approved
Patrick Thornton,Hughesberg,76566,807,3426,8,90.0,True,Approved
Leslie Kane,Garciamouth,57460,315,48346,9,30.0,False,Rejected
Matthew Moore,Harringtonview,117841,646,41845,25,65.0,True,Approved
Sarah Phelps,Finleyfort,64993,336,41465,4,25.0,False,Rejected
Michael Mitchell,Lake Christopher,121988,400,42533,6,45.0,False,Rejected
Michael Berger,West Lauraport,119593,667,25565,27,70.0,True,Approved
Joseph Knight,East Gregory,114939,691,41613,15,75.0,True,Approved
Mr. David Little MD,Port Stevenport,39358,461,5840,28,35.0,False,Rejected
Victoria Evans,Vaughnmouth,109840,609,14055,24,70.0,True,Approved
Ashley James,Baileyport,113227,322,44137,25,50.0,False,Rejected
Keith Jennings,New Julieport,52431,535,40784,22,35.0,False,Rejected
Connor King,Lake Colton,100010,340,21246,28,55.0,False,Rejected
Jacob Anderson,Markchester,125568,479,14159,8,50.0,False,Rejected
Sherri Diaz,Mariaview,62087,793,20342,21,75.0,True,Approved
Julie Jones,Port Erica,51417,706,37524,23,60.0,True,Approved
James Baker,South Miguelview,90589,690,42847,23,65.0,True,Approved
David Johnson,Rosebury,79735,364,42641,29,40.0,False,Rejected
Elizabeth Ortiz,North Sophia,65382,611,33284,7,45.0,False,Rejected
Stephen Taylor,Watsonside,113886,729,39491,9,70.0,True,Approved
Mary Bass,Crosbyview,120198,333,46238,23,50.0,False,Rejected
Jeremy Young,Corystad,103000,667,4968,25,75.0,True,Approved
Walter Rush,Davisborough,58785,321,4314,21,50.0,False,Rejected
Cameron Cunningham,Port Kathyborough,119733,521,16269,21,55.0,False,Rejected
Rachel Carlson,Micheleberg,72504,433,36403,16,35.0,False,Rejected
Ashley Delacruz,North Michael,140474,543,39591,20,50.0,False,Rejected
Derek Martinez,Foxland,130704,787,30378,23,90.0,True,Approved
Ashley Gordon,Lake Kristahaven,131711,608,31018,1,55.0,False,Rejected
John Morales,South Jennifermouth,37331,375,6294,20,35.0,False,Rejected
Ana Hill,Oscarhaven,60021,601,30734,32,50.0,False,Rejected
Annette Miles,South Shannon,137715,533,28119,21,55.0,False,Rejected
Jennifer Blair,Ronaldview,34207,683,11003,30,55.0,False,Rejected
Ronald Davis,Lake Joanneberg,135518,361,39434,35,50.0,False,Rejected
Meagan Jenkins,Parrishton,71347,594,40348,19,50.0,False,Rejected
Kenneth Lewis,Walkerville,82581,658,37455,23,55.0,False,Rejected
Donald Perez,Bruceside,65093,326,40911,17,35.0,False,Rejected
Donald Farmer,Michaelburgh,38675,446,38114,25,25.0,False,Rejected
Patrick Bonilla,Lake Alyssafurt,57653,729,30730,21,60.0,True,Approved
Eric Nguyen,North Ericton,149686,383,18832,28,55.0,False,Rejected
Karla Ramos,Jasonhaven,104341,416,23621,27,55.0,False,Rejected
Michael Watkins,Brandonfurt,144867,356,1503,13,60.0,True,Approved
Daniel Taylor,Keithville,124098,307,33596,27,50.0,False,Rejected
James Padilla,Charleston,71245,746,2228,29,85.0,True,Approved
Shannon Johnston,Mckinneychester,57869,596,8548,25,60.0,True,Approved
Frederick Solis,Collierstad,115909,390,29620,6,45.0,False,Rejected
Kevin Warren,Harrellmouth,95435,526,22827,10,50.0,False,Rejected
Mark Schmidt,Port Michael,81856,451,16484,6,45.0,False,Rejected
Craig Morrison,East Stephaniefort,145957,775,37944,37,85.0,True,Approved
Thomas Cunningham,Michellemouth,149871,454,29820,4,45.0,False,Rejected
Mark Hogan,West Williamport,114259,772,30616,2,75.0,True,Approved
Ronald Jones,New Brookefurt,90142,773,39032,35,75.0,True,Approved
Nancy Williams,West Cassidy,48726,813,10886,3,65.0,True,Approved
Robert Monroe,New Debbieton,64718,553,47374,28,35.0,False,Rejected
Kelly Bishop MD,Paulmouth,48301,353,42345,21,25.0,False,Rejected
Brandon Gregory,Johnathanberg,62325,641,6341,37,60.0,True,Approved
Sydney Collins,Andersonland,127647,617,37629,24,65.0,True,Approved
Erin Anderson,Lake Ellenhaven,103579,670,2194,23,85.0,True,Approved
Trevor Peterson,Leeberg,100644,458,6057,18,60.0,True,Approved
Ashley Wise,Lake Matthewberg,64438,685,11109,10,70.0,True,Approved
Michael Weber,Lake Samuel,127912,720,24874,15,80.0,True,Approved
Lisa Goodwin,Youngbury,106622,616,31737,12,65.0,True,Approved
Travis Joyce,Hammondfurt,86155,814,35567,26,80.0,True,Approved
Ruth Solis,Port John,147679,792,25327,35,90.0,True,Approved
Michelle Black,West Christopherburgh,106484,579,30446,32,50.0,False,Rejected
Jeffrey Potts,Port Shannon,82350,657,2747,26,70.0,True,Approved
Jonathan Young,West Jeffreymouth,77447,401,47838,21,40.0,False,Rejected
Brenda Mitchell,Hortonberg,58746,780,30399,39,70.0,True,Approved
Bobby Scott,New Shelby,48131,840,28738,7,60.0,True,Approved
Cynthia Martinez,South Danielle,96784,768,5116,7,85.0,True,Approved
Kathryn Herrera,Lake Douglas,94686,739,1102,39,80.0,True,Approved
Kenneth Lopez,New Theresaland,41915,838,36656,32,65.0,True,Approved
Katie Smith,Williamsfurt,129061,682,17623,1,65.0,True,Approved
Austin Allen,Port Bonniemouth,36175,436,3905,22,35.0,False,Rejected
